yolov3-custom
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
Resizing
576
Loaded: 0.000073 seconds
Region 82 Avg IOU: 0.695447, Class: 0.945978, Obj: 0.424820, No Obj: 0.001831, .5R: 0.800000, .75R: 0.600000,  count: 5
Region 94 Avg IOU: 0.318354, Class: 0.944253, Obj: 0.342840, No Obj: 0.000125, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: 0.703198, Class: 0.972133, Obj: 0.330162, No Obj: 0.001589, .5R: 1.000000, .75R: 0.250000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000018, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.563393, Class: 0.943873, Obj: 0.220650, No Obj: 0.001238, .5R: 0.600000, .75R: 0.200000,  count: 5
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000032, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.625458, Class: 0.990916, Obj: 0.024261, No Obj: 0.001121, .5R: 0.750000, .75R: 0.500000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000208, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.631668, Class: 0.993335, Obj: 0.190538, No Obj: 0.001438, .5R: 0.800000, .75R: 0.200000,  count: 5
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000024, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.722071, Class: 0.932416, Obj: 0.061921, No Obj: 0.000915, .5R: 1.000000, .75R: 0.250000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000059, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.619974, Class: 0.980133, Obj: 0.110704, No Obj: 0.000895, .5R: 0.800000, .75R: 0.200000,  count: 5
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000017, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.571277, Class: 0.992784, Obj: 0.207007, No Obj: 0.000868, .5R: 0.666667, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.501606, Class: 0.721379, Obj: 0.017869, No Obj: 0.000036, .5R: 0.400000, .75R: 0.000000,  count: 5
Region 82 Avg IOU: 0.622745, Class: 0.995393, Obj: 0.229185, No Obj: 0.001628, .5R: 0.500000, .75R: 0.500000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000019, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.770249, Class: 0.993195, Obj: 0.100285, No Obj: 0.001458, .5R: 1.000000, .75R: 0.750000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000034, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.611775, Class: 0.885841, Obj: 0.137540, No Obj: 0.001971, .5R: 0.666667, .75R: 0.166667,  count: 12
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000266, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.628387, Class: 0.995969, Obj: 0.458394, No Obj: 0.001774, .5R: 0.750000, .75R: 0.250000,  count: 4
