yolov3-custom
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
Resizing
512
Loaded: 0.000083 seconds
Region 82 Avg IOU: 0.187601, Class: 0.565160, Obj: 0.365844, No Obj: 0.499380, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.524166, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.347621, Class: 0.389861, Obj: 0.388564, No Obj: 0.499229, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.288832, Class: 0.598307, Obj: 0.778351, No Obj: 0.523564, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.419981, Class: 0.678632, Obj: 0.598696, No Obj: 0.499124, .5R: 0.500000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.523244, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.201748, Class: 0.399403, Obj: 0.382300, No Obj: 0.501318, .5R: 0.083333, .75R: 0.000000,  count: 12
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.523337, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.262906, Class: 0.573058, Obj: 0.572958, No Obj: 0.499645, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.524353, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.249395, Class: 0.486466, Obj: 0.609795, No Obj: 0.498861, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.523240, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.320613, Class: 0.612427, Obj: 0.390740, No Obj: 0.499194, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: 0.232567, Class: 0.661631, Obj: 0.109793, No Obj: 0.524014, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.390325, Class: 0.654421, Obj: 0.596241, No Obj: 0.499813, .5R: 0.333333, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.048345, Class: 0.201567, Obj: 0.382047, No Obj: 0.524069, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.477833, Class: 0.797754, Obj: 0.518544, No Obj: 0.496722, .5R: 0.333333, .75R: 0.333333,  count: 3
Region 94 Avg IOU: 0.475166, Class: 0.153196, Obj: 0.830607, No Obj: 0.522759, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.313755, Class: 0.646202, Obj: 0.562537, No Obj: 0.499823, .5R: 0.333333, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.124926, Class: 0.684503, Obj: 0.127035, No Obj: 0.523535, .5R: 0.000000, .75R: 0.000000,  count: 1
3: 591.238342, 591.747986 avg, 0.000000 rate, 8.541511 seconds, 192 images
Loaded: 0.000092 seconds
Region 82 Avg IOU: 0.205397, Class: 0.564710, Obj: 0.735440, No Obj: 0.498067, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.524138, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.369164, Class: 0.656272, Obj: 0.552559, No Obj: 0.500676, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.524837, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.197705, Class: 0.422435, Obj: 0.506140, No Obj: 0.497631, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.212746, Class: 0.147708, Obj: 0.141376, No Obj: 0.523744, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.234940, Class: 0.549171, Obj: 0.497291, No Obj: 0.497955, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: 0.103652, Class: 0.749531, Obj: 0.718366, No Obj: 0.523907, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.368018, Class: 0.598174, Obj: 0.568409, No Obj: 0.499398, .5R: 0.500000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.524192, .5R: -nan, .75R: -nan,  count: 0
