yolov3-custom
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
Loaded: 1.621513 seconds
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.341886, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.063664, Class: 0.438300, Obj: 0.618104, No Obj: 0.458527, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.352782, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.267827, Class: 0.539026, Obj: 0.247105, No Obj: 0.460072, .5R: 0.000000, .75R: 0.000000,  count: 13
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.341776, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.166960, Class: 0.523018, Obj: 0.596098, No Obj: 0.460310, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.346261, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.041512, Class: 0.665919, Obj: 0.551096, No Obj: 0.459595, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.349298, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.056767, Class: 0.566041, Obj: 0.670484, No Obj: 0.460063, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.344189, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.221857, Class: 0.427602, Obj: 0.520535, No Obj: 0.459196, .5R: 0.090909, .75R: 0.000000,  count: 11
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.349425, .5R: -nan, .75R: -nan,  count: 0
Region 93 Avg IOU: 0.067792, Class: 0.667627, Obj: 0.724132, No Obj: 0.459921, .5R: 0.000000, .75R: 0.000000,  count: 5
